"1kSurvey_LevelReached","Endelig er niveau 1000 her!

Takket være dig og andre dygtige juvelerer fra hele verden har vi lavet dette fantastiske niveau.

Jeg er sikker på, at du vil elske det!"
"1kSurvey_Presentation","Jubiii! Det er et stykke tid siden, at du påbegyndte denne vidunderlige rejse.

Jeg tænker, at du har nogle gode idéer til, hvordan et fantastisk niveau 1000 burde se ud ..."
"1kSurvey_PresentationOptOut","Nej tak"
"1kSurvey_Q1","Fantastisk, lad os komme i gang! Hvilken spiltype kan du bedst lide?"
"1kSurvey_Q1A1","Rør ved linjen"
"1kSurvey_Q1A2","Dukker"
"1kSurvey_Q1A3","Juvelskrin"
"1kSurvey_Q2A1","Fugle"
"1kSurvey_Q2A2","Eksplosion"
"1kSurvey_Q2A3","Farvebombe"
"1kSurvey_Q2T1T2T3","Interessant ... og hvilken hjælper synes du er bedst til at klare et niveau?"
"1kSurvey_Q3A1","Korte"
"1kSurvey_Q3A2","Lange"
"1kSurvey_Q3A3","Begge"
"1kSurvey_Q3T1","Jeg kan også godt lide fuglene! Kan du lide korte niveauer eller de lidt længere?"
"1kSurvey_Q3T2","Farverige eksplosioner! Kan du lide korte niveauer eller de lidt længere?"
"1kSurvey_Q3T3","Sig farvel til denne farve! Kan du lide korte niveauer eller de lidt længere?"
"1kSurvey_Q4A1","Lave boostere"
"1kSurvey_Q4A2","Fjerne blokeringer"
"1kSurvey_Q4A3","Samle diamanter"
"1kSurvey_Q4T1T2T3","Samme her! Hvad kan du bedst lide ved at spille disse niveauer?"
"1kSurvey_Q5A1","Bånd"
"1kSurvey_Q5A2","Blomster"
"1kSurvey_Q5A3","Broche"
"1kSurvey_Q5T1T2T3","Strategisk tankegang! Forhindringer gør det sværere ... hvilken synes du er den sværeste?"
"1kSurvey_Q6A1","Parfume"
"1kSurvey_Q6A2","Tyngdekraft"
"1kSurvey_Q6A3","Lås og nøgle"
"1kSurvey_Q6T1T2T3","Det er en svær en! Hvilket element synes du er sjovest?"
"1kSurvey_Thanks","Fantastisk! Tak for din hjælp! 

Niveau 1000 vil blive fantastisk takket være meninger fra dig og andre dygtige juvelerer. 

Spil videre, du er der næsten!"
"3_moves_reminder","3 træk tilbage!"
"5_moves_reminder","5 træk tilbage!"
"Bernadetta_bottles_intro","Åbn flaskerne og se, hvad der sker!"
"Bernadetta_bottles_outro","Åbn alle flaskerne!"
"Bernadetta_box_intro","Der er diamanter skjult indeni juvelskrinene!"
"Bernadetta_box_outro","Åbn alle skrinene!"
"Bernadetta_diamond_intro","Der er ingen tid at spilde. Lad os begynde at samle diamanter!"
"Bernadetta_diamond_outro","Du har den!"
"Bernadetta_doll_intro","Der er diamanter skjult indeni dukkerne!"
"Bernadetta_doll_outro","Find dem alle!"
"Bernadetta_hybrid_intro","Saml alle diamanterne!"
"Bernadetta_hybrid_outro","Du har fået dem alle!"
"Block.Signin_button","Log ind"
"Block_Body","Log ind for at begynde at spille"
"Block_celebratory_message","Du er nu logget ind!"
"Block_connectingserver","Forbinder"
"Block_welcome","Velkommen!"
"Cheering_text_blast_created","Eksplosion skabt!"
"Cheering_text_color_blast_created","Farveeksplosion skabt!"
"Cheering_text_cross_created","Krydseksplosion skabt!"
"Cheering_text_cross_ray_created","Krydsstråle skabt!"
"Cheering_text_ray_created","Stråle skabt"
"Cheering_text_star_created","Stjerneeksplosion skabt!"
"Cross_hammer_compensation","Beklager, men vi har fjernet Krydseksplosionshammeren!

Alle dem, du har købt, får du refunderet som guld i din bank."
