"1kSurvey_LevelReached","¡Por fin ha llegado el nivel 1000!

Gracias a ti y a otros joyeros llenos de talento de todo el mundo hemos creado este increíble nivel.

¡Seguro que te encanta!"
"1kSurvey_Presentation","¡Yujuuu! Ya hace tiempo que empezaste esta maravillosa aventura.

Espero que puedas darnos algunas ideas acerca de cómo debería ser un gran nivel 1000..."
"1kSurvey_PresentationOptOut","Mejor no"
"1kSurvey_Q1","Muy bien, ¡comencemos! ¿Cuál es el modo de juego que más te gusta?"
"1kSurvey_Q1A1","Toca la línea"
"1kSurvey_Q1A2","Muñecas"
"1kSurvey_Q1A3","Joyeros"
"1kSurvey_Q2A1","Pájaros"
"1kSurvey_Q2A2","Bombas"
"1kSurvey_Q2A3","Bomba de color"
"1kSurvey_Q2T1T2T3","Qué curioso... ¿Y qué ayuda crees que es el mejor para lograr superar un nivel?"
"1kSurvey_Q3A1","Cortos"
"1kSurvey_Q3A2","Largos"
"1kSurvey_Q3A3","Ambos"
"1kSurvey_Q3T1","¡A mí también me encantan los pájaros! ¿Prefieres los niveles cortos o largos?"
"1kSurvey_Q3T2","¡Explosiones de colores! ¿Prefieres los niveles cortos o largos?"
"1kSurvey_Q3T3","¡Adiós a ese color! ¿Prefieres los niveles cortos o largos?"
"1kSurvey_Q4A1","Fabricar boosters"
"1kSurvey_Q4A2","Quitar obstáculos"
"1kSurvey_Q4A3","Recoger diamantes"
"1kSurvey_Q4T1T2T3","¡Igual que yo! ¿Y qué es lo que más te gusta de jugar a ese tipo de niveles?"
"1kSurvey_Q5A1","Lazos"
"1kSurvey_Q5A2","Flores"
"1kSurvey_Q5A3","Broches"
"1kSurvey_Q5T1T2T3","¡Una jugada estratégica! Los obstáculos complican las cosas difíciles..., ¿cuál te parece el más difícil?"
"1kSurvey_Q6A1","Perfume"
"1kSurvey_Q6A2","Gravedad"
"1kSurvey_Q6A3","Candado y llave"
"1kSurvey_Q6T1T2T3","¡Es un obstáculo complicado! ¿Qué elemento es el que más te divierte?"
