"1kSurvey_LevelReached","Le niveau 1 000 est enfin arrivé !

Nous avons créé ce fabuleux niveau grâce à toi et à d'autres brillants joailliers du monde entier.

Je suis sûre que tu vas l'adorer !"
"1kSurvey_Presentation","Ouaaah ! Ça fait un moment que tu as entamé cette merveilleuse aventure.

Tu as sûrement une idée de ce qui ferait un excellent niveau 1 000..."
"1kSurvey_PresentationOptOut","Non merci"
"1kSurvey_Q1","Super, commençons ! Quel est ton mode de jeu préféré ?"
"1kSurvey_Q1A1","Touche la ligne"
"1kSurvey_Q1A2","Poupées"
"1kSurvey_Q1A3","Boîtes à bijoux"
"1kSurvey_Q2A1","Oiseaux"
"1kSurvey_Q2A2","Éclat"
"1kSurvey_Q2A3","Éclat coloré"
"1kSurvey_Q2T1T2T3","Intéressant... Et quel booster te paraît le plus adéquat pour réussir un niveau ?"
"1kSurvey_Q3A1","Courts"
"1kSurvey_Q3A2","Longs"
"1kSurvey_Q3A3","Les 2"
"1kSurvey_Q3T1","Moi aussi j'adore ces oiseaux ! Tu préfères les niveaux courts ou longs ?"
"1kSurvey_Q3T2","Que de couleurs ! Tu préfères les niveaux courts ou longs ?"
"1kSurvey_Q3T3","Dis adieu à cette couleur ! Tu préfères les niveaux courts ou longs ?"
"1kSurvey_Q4A1","Fabriquer des boosters"
"1kSurvey_Q4A2","Supprimer des bloqueurs"
"1kSurvey_Q4A3","Récupérer des diamants"
"1kSurvey_Q4T1T2T3","Moi aussi ! Qu'est-ce que tu aimes le plus dans ces niveaux ?"
"1kSurvey_Q5A1","Rubans"
"1kSurvey_Q5A2","Fleurs"
"1kSurvey_Q5A3","Broche"
"1kSurvey_Q5T1T2T3","Bonne stratégie ! Les obstacles compliquent les choses... D'après toi, quel est le plus difficile à surmonter ?"
"1kSurvey_Q6A1","Parfum"
"1kSurvey_Q6A2","Pesanteur"
"1kSurvey_Q6A3","Verrou et clé"
"1kSurvey_Q6T1T2T3","Tu as bien raison ! Quel est l'élément le plus amusant pour toi ?"
"1kSurvey_Thanks","Fantastique ! Merci pour ton aide !

Le niveau 1 000 va être formidable grâce à toi et à d'autres merveilleux joailliers.

Continue à jouer, tu y es presque !"
"3_moves_reminder","Plus que 3 coups !"
"5_moves_reminder","Plus que 5 coups !"
"Bernadetta_bottles_intro","Ouvre les flacons pour voir ce qui va se passer !"
"Bernadetta_bottles_outro","Débouche tous les flacons !"
"Bernadetta_box_intro","Les diamants sont cachés dans les boîtes à bijoux !"
"Bernadetta_box_outro","Ouvre toutes les boîtes !"
"Bernadetta_diamond_intro","Pas de temps à perdre. Commençons par récupérer des diamants !"
"Bernadetta_diamond_outro","Tu vas y arriver !"
"Bernadetta_doll_intro","Les diamants sont cachés dans les poupées !"
"Bernadetta_doll_outro","Récupère-les tous !"
"Bernadetta_hybrid_intro","Récupère tous les diamants !"
"Bernadetta_hybrid_outro","Tu les as tous récupérés !"
"Block.Signin_button","Connexion"
"Block_Body","Connecte-toi pour jouer"
"Block_celebratory_message","Connexion réussie !"
"Block_connectingserver","Connexion"
"Block_welcome","Bienvenue !"
"Cheering_text_blast_created","Éclat créé !"
"Cheering_text_color_blast_created","Éclat coloré créé !"
"Cheering_text_cross_created","Éclat en croix créé !"
"Cheering_text_cross_ray_created","Rayon en croix créé !"
"Cheering_text_ray_created","Rayon créé !"
"Cheering_text_star_created","Éclat en étoile créé !"
"Cross_hammer_compensation","Les marteaux Brise-croix ont été supprimés du jeu !

Si vous en avez acheté, ils vous seront remboursés en lingots d'or."
"DDS.IGP.Sunset.Canvas.Body","Ce jeu ne sera plus disponible sur Facebook à partir du 31/03/22, mais tu pourras continuer à profiter de la version mobile sur Android ou iOS."
