"1kSurvey_LevelReached","Eindelijk, het is tijd voor level 1000!

Dankzij jou en andere sieradenmakers uit de hele wereld hebben we dit fantastische level kunnen maken.

Je zult er zeker van genieten!"
"1kSurvey_Presentation","Jubiii! Det er et stykke tid siden, at du påbegyndte denne vidunderlige rejse.

Jeg tænker, at du har nogle gode idéer til, hvordan et fantastisk niveau 1000 burde se ud ..."
"1kSurvey_PresentationOptOut","Hayır, sağ ol"
"1kSurvey_Q1","Отлично, тогда начнем! Какой игровой режим тебе больше всего нравится?"
"1kSurvey_Q1A1","«Коснись линии»"
"1kSurvey_Q1A2","«Матрешки»"
"1kSurvey_Q1A3","Mücevher Kutuları"
"1kSurvey_Q2A1","Pássaros"
"1kSurvey_Q2A2","Eksplosjoner"
"1kSurvey_Q2A3","Fargeeksplosjon"
"1kSurvey_Q2T1T2T3","Interessant! Und mit welchem Helfer hast du die besten Chancen, ein Level zu meistern?"
"1kSurvey_Q3A1","Короткие"
"1kSurvey_Q3A2","Длинные"
"1kSurvey_Q3A3","Molemmat"
"1kSurvey_Q3T1","Minäkin tykkään linnuista! Entä kummat ovat enemmän mieleesi, lyhyet vai pitkät tasot?"
"1kSurvey_Q3T2","Värikkäitä paukkuja! Entä kummat ovat enemmän mieleesi, lyhyet vai pitkät tasot?"
"1kSurvey_Q3T3","Славно избавиться от бусин одного цвета! А тебе нравятся длинные или короткие уровни?"
"1kSurvey_Q4A1","Buusterien rakentaminen"
"1kSurvey_Q4A2","Blokkeringen verwijderen"
"1kSurvey_Q4A3","Récupérer des diamants"
"1kSurvey_Q4T1T2T3","¡Igual que yo! ¿Y qué es lo que más te gusta de jugar a ese tipo de niveles?"
"1kSurvey_Q5A1","Ленточки"
"1kSurvey_Q5A2","Blomster"
"1kSurvey_Q5A3","Rintaneula"
"1kSurvey_Q5T1T2T3","Tolle Strategie! Hindernisse können einem das Leben ganz schön schwer machen. Welche sind am schwierigsten?"
"1kSurvey_Q6A1","Parfyymi"
"1kSurvey_Q6A2","Zwaartekracht"
"1kSurvey_Q6A3","Schlüssel/Schloss"
"1kSurvey_Q6T1T2T3","¡Es un obstáculo complicado! ¿Qué elemento es el que más te divierte?"
"1kSurvey_Thanks","Fantastiskt! Tack för hjälpen! 

Nivå 1 000 kommer att bli fantastisk tack vare alla åsikter som vi har fått från dig och de andra juvelerarna. 

Fortsätt spela, du är nästan framme!"
"3_moves_reminder","¡Quedan 3 movimientos!"
"5_moves_reminder","¡Quedan 5 movimientos!"
"Bernadetta_bottles_intro","Öffne die Flakons und finde heraus, was passiert!"
"Bernadetta_bottles_outro","¡Abre las Botellas y verás que pasa!"
"Bernadetta_box_intro","Les diamants sont cachés dans les boîtes à bijoux !"
"Bernadetta_box_outro","Abra todos os porta-joias!"
"Bernadetta_diamond_intro","Pas de temps à perdre. Commençons par récupérer des diamants !"
"Bernadetta_diamond_outro","Tu vas y arriver !"
"Bernadetta_doll_intro","Les diamants sont cachés dans les poupées !"
"Bernadetta_doll_outro","Kerää kaikki timantit!"
"Bernadetta_hybrid_intro","¡Recoge todos los diamantes!"
"Bernadetta_hybrid_outro","Tu les as tous récupérés !"
"Block.Signin_button","Авторизоваться"
"Block_Body","Авторизуйтесь, чтобы начать игру"
"Block_celebratory_message","You have successfully Signed in!"
"Block_connectingserver","Connessione in corso"
"Block_welcome","¡Te damos la bienvenida!"
"Cheering_text_blast_created","Patlama oluşturuldu!"
"Cheering_text_color_blast_created","Renk Patlaması Oluşturuldu!"
"Cheering_text_cross_created","Esplosione incrociata creata!"
"Cheering_text_cross_ray_created","Создан перекрестный луч!"
"Cheering_text_ray_created","Işın oluşturuldu!"
"Cheering_text_star_created","Yıldız Patlaması oluşturuldu!"
"Cross_hammer_compensation","Purtroppo, abbiamo dovuto rimuovere il Martello esplosione incrociata!

Tutti quelli che hai acquistato ti verranno rimborsati in oro nel tuo Salvadanaio."
"DDS.IGP.Sunset.Canvas.Body","Este juego dejará de estar disponible para jugar en Facebook a partir del 31 de marzo de 2022, pero puedes seguir jugando a la versión para dispositivos móviles en Android e iOS."
"DiDS.IGP.Sunset.Canvas.Download","Jetzt KOSTENLOS herunterladen"
"DiDS.IGP.Sunset.Canvas.QRCode","Scanne den QR-Code mit deinem Mobilgerät, um das Spiel kostenlos herunterzuladen."
"Hint_Bottles_mode","Bruk flaskene i kombinasjoner!"
"Hint_Box_mode","Bruk skrinet i en kombinasjon!"
"Hint_Diamond_mode","Lag kombinasjoner nedenfor diamanten!"
"Hint_Dolls_mode","Bruk dukkene i kombinasjoner!"
"Level","{0}. seviye"
"NEW_KEY_1","Consent for Providing Personal Data to Third Parties 

Please see here for further information: www.king.com/ko/TTP-information"
"NEW_KEY_2","Consent for Overseas Transfer of Personal Data 

Please see here for further information: www.king.com/ko/TTP-information"
"PP_Title","Privacy Policy"
"PP_whole_text","Consent for the collection/use of personal data
Purposes of collection/use: (i) for the provision of services, managing your account and relationship with us, the handling of customer complaint, contacting you, identifying you and your device, provision of customized services, service improvements, promotion of our services, preventing cheating, crime and fraud and as otherwise set out in our Privacy Policy or required by law; and (ii), where you have chosen to allow it interacting with third party social networks and platforms, sending you push notifications and making use of your device’s advertising identifier.

^- Items of personal data collected/used: (i) age, gender, location (country), access time/date, information about the kind of device you use, IP address, information on your use of our services, information you provide us with when you fill in forms when using our services, content of communications between you and King, information automatically collected via cookie/local Storage/session Storage etc.; and (ii) where you have chosen to allow it, a) information shared with us by third party social networks and platforms e.g. your name and ID on that network/platform, your email address, your contact list and profile picture (b) information about your gameplay and use of our games; and (c) your device’s ad identifier.

^- Data retention/use period:  Your personal information will be destroyed without delay
once the purposes for which it was collected/used are fulfilled
unless otherwise provided in a privacy policy (e.g., if applicable law/regulation requires retention for a longer period).

^- You may refuse to give consent to the collection/use of personal data essential for the provision of the services. However, in the case of refusal, you may not use the services.

^Consent for Providing Personal Data to Third Parties

Please see here for further information: www.king.com/ko/TTP-information

^Consent for Overseas Transfer of Personal Data

Please see here for further information: www.king.com/ko/TTP-information"
"Pop_up_tips_title","Consejos"
"Run_out_CTAbutton_run","Yarışa Katıl!"
"TPP_00","Consent for the collection/use of personal data"
"TPP_01","Purposes of collection/use: (i) for the provision of services, managing your account and relationship with us, the handling of customer complaint, contacting you, identifying you and your device, provision of customized services, service improvements, promotion of our services, preventing cheating, crime and fraud and as otherwise set out in our Privacy Policy or required by law; and (ii), where you have chosen to allow it interacting with third party social networks and platforms, sending you push notifications and making use of your device’s advertising identifier."
"TPP_02","- Items of personal data collected/used: (i) age, gender, location (country), access time/date, information about the kind of device you use, IP address, information on your use of our services, information you provide us with when you fill in forms when using our services, content of communications between you and King, information automatically collected via cookie/local Storage/session Storage etc.; and (ii) where you have chosen to allow it, a) information shared with us by third party social networks and platforms e.g. your name and ID on that network/platform, your email address, your contact list and profile picture (b) information about your gameplay and use of our games; and (c) your device’s ad identifier."
"TPP_03","- Data retention/use period:  Your personal information will be destroyed without delay once the purposes for which it was collected/used are fulfilled unless otherwise provided in a privacy policy (e.g., if applicable law/regulation requires retention for a longer period)."
"TPP_03_1","- Data retention/use period:  Your personal information will be destroyed without delay"
"TPP_03_2","once the purposes for which it was collected/used are fulfilled"
"TPP_03_3","unless otherwise provided in a privacy policy (e.g., if applicable law/regulation requires retention for a longer period)."
"TPP_04","- You may refuse to give consent to the collection/use of personal data essential for the provision of the services. However, in the case of refusal, you may not use the services."
"TPP_Consent_Checkbox","I consent to the collection/use of my personal data, as set out above.
I consent to the provision of my personal data to third parties.
I consent to the overseas transfer of my personal data."
"TPP_Consent_Checkbox_1","I consent to the collection/use of my personal data, as set out above."
"TPP_Consent_Checkbox_2","I consent to the provision of my personal data to third parties."
"TPP_Consent_Checkbox_3","I consent to the overseas transfer of my personal data."
"TPP_Tittle","Consent for Processing Personal Data"
"TPP_button","Confirm"
"TheLab_ApplePayment_Body","You will receive a confirmation soon"
"TheLab_ApplePayment_Title","Processing transaction"
"Tip_blast","Länka 6 föremål för att skapa en explosion från en slumpmässig färg."
"Tip_blast_title","Eksplosjon"
"Tip_color_blast","Verbinde 12 Teile, um einen Farbensprenger zu erzeugen."
"Tip_color_blast_title","Fargeeksplosjon"
"Tip_cross_blast","Rastgele bir renkten Çapraz Patlama oluşturmak için 9 parça birleştir."
"Tip_cross_blast_title","Esplosione incrociata"
"Tip_cross_ray_random","Соедини 9 бусин, чтобы создать перекрестный луч случайного цвета."
"Tip_cross_ray_random_title","Перекрестный луч"
"Tip_linking","3 veya daha fazla Tılsım birleştir"
"Tip_linking_title","Länka samman 3 amuletter"
"Tip_long_link","Erstelle eine lange Verbindung, um eine Spezialkraft zu nutzen!"
"Tip_longer_link","Je länger die Verbindung, desto besser die Spezialkraft!"
"Tip_ray_sequential","Соедини 6 бусин, чтобы создать вертикальный или горизонтальный луч."
"Tip_ray_title","Raggio"
"Tip_star_ray_random","Bir Yıldız Patlaması oluşturmak için 12 parça birleştir"
"Tip_star_ray_random_title","Stjerneeksplosjon"
"Tips_Dolls_Title","Matriosche"
"Tips_Not_Discovered","Daha fazla ipucu öğrenmek için oynamaya devam et."
"Tips_aiming","I booster possono essere spostati lungo le perline collegate"
"Tips_aiming_title","Apuntando..."
"Tips_bird","Combineer het glanzende onderdeel om een handig vogeltje vrij te laten."
"Tips_bird_title","Pássaros"
"Tips_bottles","Соединяй флаконы с бусинами того же цвета, чтобы их открыть. "
"Tips_bottles_title","Boccette"
"Tips_boxes","Bruk smykkeskrinene i kombinasjoner for å åpne dem."
"Tips_boxes_title","Smyckeskrin"
"Tips_cancelling","Para deshacer un movimiento, desliza el dedo a otro lugar de la pantalla."
"Tips_cancelling_title","Отмена цепочки"
"Tips_cross_ray_sequencial_title","Перекрестный луч"
"Tips_diamond","Bring den Diamanten zur Halskette, um ein Schmuckstück zu erzeugen."
"Tips_diamond_title","Бриллианты"
"Tips_dolls","Combineer poppetjes met onderdelen van dezelfde kleur om ze te openen"
"Tips_ray_cross_sequencial","Verbinde 9 Teile, um einen Kreuzstrahl zu erzeugen."
"Tips_ray_random","Verbinde 6 Teile, um einen Strahl (zufällige Farbe) zu erzeugen."
"Tips_ray_random_title","Raggio"
"Tips_star_ray_sequencial","Bir Yıldız Patlaması oluşturmak için 12 parça birleştir."
"Tips_star_ray_sequential_title","Stjerneeksplosjon"
"ToS_00","Terms of Service for users resident in Korea"
"ToS_01","1. About these terms"
"ToS_01.1","1.1 These terms create a legal agreement between you (“you” or “your”) and King.com Limited of Aragon Business Centre Level 4, Dragonara Road, St Julians STJ3140, Malta, a company registered in Malta with registration number C42504 (“King”, “we”, “us” or “our”) in relation to your download, access and/or use of King games (each a “Game” and together the “Games”). These terms also apply to any other services that we may provide in relation to the Games, such as customer support, social media, community channels and other websites that we may operate from time to time (we refer to all our Games and other services collectively as the \"Services\" in these terms). You agree that by downloading and/or accessing our Services, you are agreeing to these terms and our Privacy Policy (see paragraph 10 below). If you do not agree to these terms or any future updated version of them then you must not access and/or use, and must cease all access and/or use of, any of our Services. If we require that any future update to these terms requires any action from you in order to accept the updated terms, then you may not be able to continue to use the Services until you have taken such action."
"ToS_01.2","1.2 These terms apply to those of our players who are resident in Korea; if you are resident in another country then a different set of terms applies to you.  You can access the latest update of all country-specific versions of our terms, including these terms, at any time by visiting http://about.king.com/consumer-terms/ and selecting the flag corresponding to the country in which you are resident."
"ToS_01.3","1.3 You agree that you are at least 14 years old and that if you are between 14 years old and 19 years old, your legal guardian has reviewed and agrees to these terms and is happy for you to access and/or use our Services."
"ToS_01.4","1.4 We can make changes to these terms at any time in accordance with paragraph 14 below and your continued use of our Services shall confirm your acceptance of the updated terms."
"ToS_02","2. About accessing and using our Services"
"ToS_02.1","2.1 The specific game rules, scoring rules, controls and guidelines for each Game can be found within the Game itself. Such rules, scoring rules, controls and guidelines form part of these terms and you agree that you shall comply with them in respect of each individual Game which you choose to access and/or play."
"ToS_02.2","2.2 You are responsible for the internet connection and/or mobile charges that you may incur for accessing and/or using our Services. You should ask your mobile operator or internet service provider if you are unsure what these charges will be, before you play."
"ToS_02.3","2.3 We have the right to withdraw or modify one or more of our Services (in whole or in part) without liability to you from time to time:
•	for technical reasons (such as technical difficulties experienced by us or on the internet);
•	to allow us to improve user experience; 
•	where we have legal reasons for doing so (including privacy, data protection or other legal objections to the content or conduct of our Services); 
•	because it no longer makes business sense for us to provide the relevant Services (in whole or in part); or
•	because we have altered the services we provide."
"ToS_02.4","2.4 There may also be times when our Services or any part of them are not available for technical or maintenance related reasons, whether on a scheduled or unscheduled basis."
"ToS_03","3. Accounts"
"ToS_03.1","3.1 When using our Services you may choose to, and in some instances you will be required to, create an account with us.  If you do create an account with us, you agree that you shall take all steps necessary to protect your log in details and keep them secret."
"ToS_03.2","3.2 You agree that you shall not give your log in details to anyone else or allow anyone else to use your log in details or account."
"ToS_03.3","3.3 In these terms, references to “log in details” or “account” include your log in details and account for any social network that you may allow our Services to interact with."
"ToS_03.4","3.4 We will be entitled to assume that anyone logging into your account using your log in details is either you or someone logging in with your permission. If you fail to keep your login details secret, or if you share your login details or account with someone else (whether intentionally or unintentionally), you accept full responsibility for the consequences of this (including any unauthorized purchases) and agree to fully compensate us for any losses or harm that may result."
"ToS_03.5","3.5 We will not be responsible to you for any loss that you suffer as a result of an unauthorised person accessing your account and/or using our Services and we accept no responsibility for any losses or harm resulting from its unauthorised use, whether fraudulently or otherwise."
"ToS_03.6","3.6 We reserve the right to delete your account if no activity is conducted by you in relation to the account for 180 or more days. In such event, you will no longer be able to access and/or use any Virtual Money and/or Virtual Goods (as defined below) associated with that account and no refund will be offered to you in relation to the same."
"ToS_03.7","3.7 You understand that if you delete your account, or if we delete your account in accordance with these terms or on your request, you may lose access to any data previously associated with your account (including without limitation, your progress through our Games and/or the level or score you have reached in our Games and any Virtual Money or Virtual Goods associated with your account)."
"ToS_03.8","3.8 Your account is personal to you and you are not entitled to transfer your account to any other person."
"ToS_04","4. Virtual Goods and Virtual Money"
"ToS_04.1","4.1 Our Games may include virtual currencies such as Gold Bars (“Virtual Money”) or items or services for use with our Games (“Virtual Goods”). You can buy Virtual Money and/or Virtual Goods from us for real money and/or other credits provided that you are the payment account holder. If you are not at least 19 years old, you hereby acknowledge and agree that you have obtained consent from your legal representative for the purchase. You agree that Virtual Money and/or Virtual Goods are not transferrable to anyone else and you will not transfer or attempt to transfer any Virtual Money and/or Virtual Goods to anyone else."
"ToS_04.2","4.2 You agree that once purchased Virtual Money and Virtual Goods have no monetary value and can never be exchanged for real money, real goods or real services from us or anyone else."
"ToS_04.3","4.3 You do not own Virtual Goods and/or Virtual Money but instead you purchase a limited personal revocable licence to use them. Any balance of Virtual Goods and/or Virtual Money does not reflect any stored value."
"ToS_04.4","4.4 If you do not connect your game play on a device to an account that is linked to either your social network account or a King account, we will not be able to restore any Virtual Money or other data associated with your Game play to a different device if you lose that device or it is damaged. Accordingly, on a device which is not connected in this way:
•	any risk of loss of Virtual Money which you purchase from us is transferred to you upon completion of the purchase. For the purposes of this paragraph 4.4 and paragraph 4.5 below, a \"purchase\" is complete at the time our servers validate your purchase and the applicable Virtual Goods and/or Virtual Money are successfully credited to your account on our servers; 
•	any risk of loss of Virtual Money that you receive from us without making a purchase is transferred to you at the time the Virtual Money is successfully credited to your account on our servers; and
•	any risk of loss of other data associated with your Game play (including, without limitation, your progress through the Game, or the level or score you have reached in our Games) is transferred to you immediately at the time such Game play data is generated."
"ToS_04.5","4.5 The data associated with Virtual Goods, whether purchased by you using Virtual Money or otherwise credited or awarded to you, is stored locally on your device and so is not synced between different devices even if you have connected your game play on a device to an account that is linked to either your social network account or King account.  Accordingly, any risk of loss of this data is transferred to you (i) in the case of Virtual Goods which you purchase from us, upon completion of the purchase as described in paragraph 4.4 above; and/or (ii) in other cases, at the time the Virtual Goods are credited or awarded to you."
"ToS_04.6","4.6 We reserve the right to control, regulate, change or remove any Virtual Money or Virtual Goods without any liability to you."
"ToS_04.7","4.7 We may revise the pricing for Virtual Goods and Virtual Money offered through the Services at any time. We may limit the total amount of Virtual Goods or Virtual Money that may be purchased at any one time, and/or limit the total amount of Virtual Money or Virtual Goods that may be held in your account in the aggregate. You are only allowed to obtain Virtual Money and Virtual Goods from us or our authorized partners through the Games, and not in any other way."
"ToS_04.8","4.8 Depending on your platform, any Virtual Goods or Virtual Money purchased is purchased from your platform provider and such purchase will be subject to its terms of service and user agreement. Usage rights for each purchase may differ from item to item. If you are unsure about usage rights you should check with your platform before making a purchase. Unless otherwise shown, content available in any in-game store has the same age rating as the game."
"ToS_04.9","4.9 Without limiting any other paragraph of these terms, if we suspend or terminate your account in accordance with paragraph 7 of these terms you may lose any Virtual Money and/or Virtual Goods that you may have and we will not compensate you for this loss or make any refund to you."
"ToS_04.99","4.10 Refund Policy
For a period of 7 days from the date of a purchase of Virtual Money or Virtual Goods using real money (a “Purchase Transaction”), you have a right to request a refund of the purchase price; provided, however, that if any or all of the Virtual Money or Virtual Goods bought in a Purchase Transaction is used within the 7 day period following the Purchase Transaction, you will no longer have a right to request a refund of purchase price for that Purchase Transaction. 
Further, if the Virtual Money or Virtual Goods bought in a Purchase Transaction are bundled with other additional Virtual Goods and some or all of those additional Virtual Goods are used, then you will no longer have the right to request a refund of the purchase price for that Purchase Transaction.
If at any time you receive any Virtual Money or Virtual Goods without payment by you, for instance as a prize or gift, that Virtual Money or Virtual Goods will not be refundable or otherwise capable of being exchanged for real money.
Refunds can be requested through our customer care portal available at https://community.king.com and will be made via the payment partner through which the original purchase was made. The applicable Virtual Money and Virtual Goods which are the subject of a refund request may be removed from your account before the refund is processed."
"ToS_05","5. User conduct and content"
"ToS_05.1","5.1 You must comply with the laws that apply to you in the location that you access our Services from. If any laws applicable to you restrict or prohibit you from using our Services, you must comply with those legal restrictions or, if applicable, stop accessing and/or using our Services."
"ToS_05.2","5.2 You promise that all the information you provide to us on accessing and/or using our Services is and shall remain true, accurate and complete at all times."
"ToS_05.3","5.3 Information, data, software, sound, photographs, graphics, video, tags, or other materials  may be sent, uploaded, communicated, transmitted or otherwise made available via our Services by you or another user (“Content”). You understand and agree that all Content that may be sent when using our Services, whether publicly posted or privately sent, is the sole responsibility of the person that sent the Content. This means that you, not us, are entirely responsible for all Content that you may upload, communicate, transmit or otherwise make available via our Services."
"ToS_05.4","5.4 You agree not to upload, communicate, transmit or otherwise make available any Content:

•	that is or could reasonably be viewed as unlawful, harmful, harassing, defamatory, libelous, obscene or otherwise objectionable; 
•	that is or could reasonably be viewed as invasive of another's privacy;
•	that is likely to, or could reasonably be viewed as likely to incite violence or racial or ethnic hatred;
•	which you do not have a right to make available lawfully (such as inside information, information which belongs to someone else or confidential information);
•	which infringes any intellectual property right or other proprietary right of others;
•	which consists of any unsolicited or unauthorised advertising, promotional materials, 'junk mail', 'spam', 'chain letters', 'pyramid schemes' or any other form of solicitation; or
•	which contains software viruses or any other computer code, files or programs designed to interrupt, destroy or limit the functionality of any computer software or hardware or telecommunications equipment."
